"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.925060957E0,-2.176875114E1,-3.506250143E0,-4.456875229E1
2.935060957E0,-2.131875038E1,-3.206250191E0,-4.623750305E1
2.945060957E0,-2.154375076E1,-4.612500191E0,-4.663125229E1
2.955060957E0,-2.056875038E1,-3.843750238E0,-4.576875305E1
2.965060957E0,-2.152500153E1,-3.918750048E0,-4.741875076E1
2.975060957E0,-1.980000114E1,-3.525000095E0,-4.670625305E1
2.985060957E0,-2.028750038E1,-4.387500286E0,-4.650000000E1
2.995060957E0,-1.980000114E1,-3.787500143E0,-4.608750153E1
3.005060957E0,-2.214375114E1,-4.500000000E0,-4.556250000E1
3.015060957E0,-2.130000114E1,-2.512500048E0,-4.657500076E1
3.025060957E0,-1.886250114E1,-3.318750143E0,-4.657500076E1
3.035060957E0,-2.083125114E1,-3.018750191E0,-4.503750229E1
3.045060957E0,-2.115000153E1,-2.362500191E0,-4.672500229E1
3.055060957E0,-2.146875000E1,-3.075000048E0,-4.578750229E1
3.065060957E0,-2.265000153E1,-5.231250286E0,-4.704375076E1
3.075060957E0,-1.942500114E1,-2.231250048E0,-4.554375076E1
3.085060957E0,-2.066250038E1,-2.175000191E0,-4.569375229E1
3.095060957E0,-2.086875153E1,-3.862500191E0,-4.546875000E1
3.105060957E0,-2.088750076E1,-4.556250095E0,-4.468125153E1
3.115060957E0,-2.133750153E1,-4.162500381E0,-4.423125076E1
3.125060957E0,-1.993125153E1,-3.112500191E0,-4.685625076E1
3.135060957E0,-2.028750038E1,-4.106250286E0,-4.651875305E1
3.145060957E0,-2.131875038E1,-3.206250191E0,-4.593750000E1
3.155060957E0,-1.980000114E1,-4.200000286E0,-4.576875305E1
3.165060957E0,-2.146875000E1,-3.075000048E0,-4.608750153E1
3.175060957E0,-2.115000153E1,-2.625000000E0,-4.642500305E1
3.185060957E0,-2.137500000E1,-4.462500095E0,-4.648125076E1
3.195060957E0,-2.115000153E1,-3.037500143E0,-4.503750229E1
3.205060957E0,-2.053125000E1,-3.000000000E0,-4.550625229E1
3.215060957E0,-2.088750076E1,-3.862500191E0,-4.576875305E1
3.225060957E0,-2.055000114E1,-2.587500095E0,-4.717500305E1
3.235060957E0,-2.030625153E1,-4.668750286E0,-4.618125153E1
3.245060957E0,-2.079375076E1,-2.043750048E0,-4.509375000E1
3.255060957E0,-1.876875114E1,-1.781250119E0,-4.438125229E1
3.265060957E0,-2.103750038E1,-3.731250048E0,-4.681875229E1
3.275060957E0,-2.128125000E1,-2.212500095E0,-4.567500305E1
3.285060957E0,-2.041875076E1,-7.500000298E-2,-4.593750000E1
3.295060957E0,-2.124375153E1,-1.237500072E0,-4.573125076E1
3.305060957E0,-2.101875114E1,-8.062500358E-1,-4.258125305E1
3.315060957E0,-1.961250114E1,-7.125000358E-1,-4.185000229E1
3.325060957E0,-2.040000153E1,-7.687500119E-1,-4.258125305E1
3.335060957E0,-2.098125076E1,4.500000179E-1,-4.323750305E1
3.345060957E0,-1.895625114E1,9.937500358E-1,-4.359375000E1
3.355060957E0,-1.914375114E1,4.312500060E-1,-4.415625000E1
3.365060957E0,-2.004375076E1,1.331250072E0,-4.449375153E1
3.375060957E0,-1.929375076E1,9.562500119E-1,-4.599375153E1
3.385060957E0,-1.920000076E1,2.512500048E0,-4.365000153E1
3.395060957E0,-1.893750000E1,9.937500358E-1,-4.327500153E1
3.405060957E0,-1.846875000E1,1.312500000E0,-4.361250305E1
3.415060957E0,-1.903125000E1,2.118750095E0,-4.151250076E1
3.425060957E0,-1.933125114E1,2.100000143E0,-4.076250076E1
3.435060957E0,-1.931250000E1,3.337500095E0,-4.323750305E1
3.445060957E0,-1.790625000E1,3.018750191E0,-4.156875229E1
3.455060957E0,-1.801875114E1,3.562500238E0,-4.038750076E1
3.465060957E0,-1.766250038E1,5.118750095E0,-4.046250153E1
3.475060957E0,-2.028750038E1,5.081250191E0,-4.087500000E1
3.485060957E0,-1.875000000E1,6.018750191E0,-4.290000153E1
3.495060957E0,-1.831875038E1,4.106250286E0,-4.100625229E1
3.505060957E0,-1.783125114E1,4.968750000E0,-4.166250229E1
3.515060957E0,-1.796250153E1,5.381250381E0,-4.153125000E1
3.525060957E0,-1.747500038E1,6.525000095E0,-4.203750229E1
3.535060957E0,-1.569375038E1,7.762500286E0,-3.999375153E1
3.545060957E0,-1.713750076E1,6.412500381E0,-3.991875076E1
3.555060957E0,-1.820625114E1,7.031250477E0,-4.113750076E1
3.565060957E0,-1.629375076E1,7.575000286E0,-3.877500153E1
3.575060957E0,-1.608750153E1,9.262500763E0,-3.930000305E1
3.585060957E0,-1.490625095E1,6.975000381E0,-3.740625000E1
3.595060957E0,-1.436250019E1,9.243750572E0,-3.886875153E1
3.605060957E0,-1.548750019E1,8.325000763E0,-3.911250305E1
3.615060957E0,-1.550625038E1,9.150000572E0,-4.156875229E1
3.625060957E0,-1.436250019E1,9.243750572E0,-3.856875229E1
3.635060957E0,-1.385625076E1,1.010625076E1,-3.800625229E1
3.645060957E0,-1.291875076E1,1.100625038E1,-3.926250076E1
3.655060957E0,-1.278750038E1,1.044375038E1,-3.939375305E1
3.665060957E0,-1.168125057E1,1.095000076E1,-3.913125229E1
3.675060957E0,-1.254375076E1,1.228125095E1,-3.873750305E1
3.685060957E0,-1.374375057E1,1.261875057E1,-3.751875305E1
3.695060957E0,-8.943750381E0,1.211250019E1,-3.605625153E1
3.705060957E0,-1.014375019E1,1.286250019E1,-3.592500305E1
3.715060957E0,-1.171875000E1,1.261875057E1,-3.633750153E1
3.725060957E0,-1.029375076E1,1.423125076E1,-3.838125229E1
3.735060957E0,-9.150000572E0,1.473750019E1,-3.616875076E1
3.745060957E0,-7.181250095E0,1.387500095E1,-3.705000305E1
3.755060957E0,-8.400000572E0,1.366875076E1,-3.491250229E1
3.765060957E0,-7.406250477E0,1.541250038E1,-3.485625076E1
3.775060957E0,-7.012500286E0,1.430625057E1,-3.631875229E1
3.785060957E0,-7.481250286E0,1.359375095E1,-3.538125229E1
3.795060957E0,-6.206250191E0,1.533750057E1,-3.744375229E1
3.805060957E0,-4.500000000E0,1.421250057E1,-3.438750076E1
3.815060957E0,-6.112500191E0,1.633125114E1,-3.446250153E1
3.825060957E0,-5.231250286E0,1.554375076E1,-3.519375229E1
3.835060957E0,-4.762500286E0,1.640625000E1,-3.645000076E1
3.845060957E0,-4.575000286E0,1.655625153E1,-3.525000000E1
3.855060957E0,-2.906250000E0,1.625625038E1,-3.646875000E1
3.865060957E0,-2.081250191E0,1.728750038E1,-3.560625076E1
3.875060957E0,-2.287500143E0,1.533750057E1,-3.401250076E1
3.885060957E0,-1.312500000E0,1.678125000E1,-3.560625076E1
3.895060957E0,-1.556250095E0,1.732500076E1,-3.260625076E1
3.905060957E0,5.437500477E-1,1.580625057E1,-3.286875153E1
3.915060957E0,-6.187500358E-1,1.711875153E1,-3.170625114E1
3.925060957E0,1.800000072E0,1.603125000E1,-3.198750114E1
3.935060957E0,1.743750095E0,1.545000076E1,-3.436875153E1
3.945060957E0,1.762500048E0,1.503750038E1,-3.225000000E1
