"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.264176760E-1,-9.162971983E-4,-4.581485991E-4,-1.679878100E-3
5.285452280E-1,-2.138026757E-3,-4.581485991E-4,1.985310577E-3
5.306728320E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
5.328003840E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
5.349279360E-1,-3.359756200E-3,-1.679878100E-3,-4.581485991E-4
5.370554890E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
5.391830410E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
5.413105930E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
5.434381450E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
5.455657490E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
5.476933010E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
5.498208530E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
5.519484050E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
5.540759570E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
5.562035610E-1,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
5.583311140E-1,1.527161920E-3,7.635809598E-4,-4.581485991E-4
5.604586660E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
5.625862180E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
5.647137700E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
5.668413220E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
5.689689260E-1,-9.162971983E-4,-1.679878100E-3,-1.679878100E-3
5.710964780E-1,-9.162971983E-4,-1.679878100E-3,-4.581485991E-4
5.732240300E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
5.753515820E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
5.774791340E-1,3.054323897E-4,-1.679878100E-3,7.635809598E-4
5.796067390E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
5.817342910E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
5.838618430E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
5.859893950E-1,3.054323897E-4,-1.679878100E-3,7.635809598E-4
5.881169470E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
5.902444990E-1,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
5.923720510E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
5.944996550E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
5.966272070E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
5.987547590E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
6.008823110E-1,-9.162971983E-4,-1.679878100E-3,-4.581485991E-4
6.030098640E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
6.051374680E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.072650200E-1,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
6.093925720E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
6.115201240E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.136476760E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.157752280E-1,3.054323897E-4,-4.581485991E-4,1.985310577E-3
6.179028320E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
6.200303840E-1,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
6.221579360E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
6.242854890E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
6.264130410E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
6.285406450E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
6.306681970E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
6.327957490E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
6.349233010E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
6.370508530E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
6.391784050E-1,-9.162971983E-4,-1.679878100E-3,1.985310577E-3
6.413060090E-1,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
6.434335610E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.455611140E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.476886660E-1,1.527161920E-3,7.635809598E-4,7.635809598E-4
6.498162180E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
6.519438220E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.540713740E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.561989260E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
6.583264780E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
6.604540300E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
6.625815820E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
6.647091860E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
6.668367390E-1,1.527161920E-3,7.635809598E-4,-4.581485991E-4
6.689642910E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
6.710918430E-1,1.527161920E-3,7.635809598E-4,-1.679878100E-3
6.732193950E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
6.753469470E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
6.774745510E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
6.796021030E-1,-9.162971983E-4,1.985310577E-3,-4.581485991E-4
6.817296550E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
6.838572070E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
6.859847590E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
6.881123110E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
6.902399160E-1,-9.162971983E-4,-1.679878100E-3,-4.581485991E-4
6.923674680E-1,1.527161920E-3,-4.581485991E-4,7.635809598E-4
6.944950200E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
6.966225720E-1,-9.162971983E-4,-4.581485991E-4,1.985310577E-3
6.987501240E-1,3.054323897E-4,-1.679878100E-3,-1.679878100E-3
7.008776760E-1,-9.162971983E-4,1.985310577E-3,-4.581485991E-4
7.030052800E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
7.051328320E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
7.072603840E-1,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
7.093879360E-1,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
7.115154890E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
7.136430930E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
7.157706450E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
7.178981970E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
7.200257490E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
7.221533010E-1,3.054323897E-4,7.635809598E-4,7.635809598E-4
7.242808530E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
7.264084570E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.285360090E-1,3.054323897E-4,-4.581485991E-4,7.635809598E-4
7.306635610E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
7.327911140E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.349186660E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
7.370462700E-1,-9.162971983E-4,-1.679878100E-3,-4.581485991E-4
7.391738220E-1,1.527161920E-3,1.985310577E-3,-4.581485991E-4
7.413013740E-1,1.527161920E-3,-4.581485991E-4,-4.581485991E-4
7.434289260E-1,1.527161920E-3,7.635809598E-4,7.635809598E-4
7.455564780E-1,1.527161920E-3,-4.581485991E-4,7.635809598E-4
7.476840300E-1,3.054323897E-4,1.985310577E-3,7.635809598E-4
7.498116340E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
7.519391860E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
7.540667390E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.561942910E-1,1.527161920E-3,7.635809598E-4,-4.581485991E-4
7.583218430E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.604494470E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.625769990E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.647045510E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.668321030E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.689596550E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
7.710872070E-1,3.054323897E-4,7.635809598E-4,-4.581485991E-4
7.732148110E-1,3.054323897E-4,-4.581485991E-4,-4.581485991E-4
7.753423640E-1,3.054323897E-4,-1.679878100E-3,7.635809598E-4
7.774699160E-1,-2.138026757E-3,1.985310577E-3,1.985310577E-3
7.795974680E-1,-2.138026757E-3,7.635809598E-4,1.985310577E-3
7.817250200E-1,-9.162971983E-4,-1.679878100E-3,-4.581485991E-4
7.838525720E-1,3.054323897E-4,-1.679878100E-3,-4.581485991E-4
7.859801760E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
7.881077280E-1,-9.162971983E-4,7.635809598E-4,-1.679878100E-3
7.902352800E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
7.923628320E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
